Accident_ID,Date,Time,Latitude,Longitude,Severity,Weather,Road_Type,Vehicles_Involved,Casualties,Alcohol_Involved,Crash_Type,Accident_Cause,Hit_and_Run,Intersection_Type,Urban_Rural,Road_Lighting,Speed_Limits,Traffic_Volume,Driver_Age_Group,Driver_Gender,Emergency_Response_Time,Distance_to_Hospital,Injury_Type,Season,Day_Night,Event_Occurrence,Traffic_Camera_Footage,Vehicle_Type,Vehicle_Age,Data_Source_Link
A-0013,27-02-2024,04:15:49,18.4995912,73.81326408,Low,Clear,Residential,4,0,FALSE,Rear-end,Weather Conditions,FALSE,No Intersection,Rural,Well-lit,80,1595,Below 18,Female,44,2,Major,Winter,Night,FALSE,FALSE,Pedestrian,5,http://trafficdata.pune.example
A-0014,12-10-2024,05:29:22,18.64762446,73.82966435,Moderate,Stormy,Highway,2,2,FALSE,Head-on,Drunk Driving,FALSE,Y-junction,Urban,No lighting,50,1845,18-25,Male,47,20,Minor,Winter,Day,FALSE,FALSE,Bus,3,http://trafficdata.pune.example
A-0015,21-11-2024,19:09:39,18.46617647,73.75872619,Moderate,Cloudy,Intersection,2,2,FALSE,Head-on,Drunk Driving,FALSE,Roundabout,Rural,Dimly-lit,30,2098,25-40,Male,5,27,Major,Summer,Night,FALSE,FALSE,Truck,19,http://trafficdata.pune.example
A-0016,24-02-2024,02:41:15,18.54827738,73.94557815,Severe,Stormy,Intersection,5,0,FALSE,Pedestrian,Drunk Driving,FALSE,T-junction,Urban,Well-lit,70,3209,Above 60,Male,28,10,Major,Summer,Day,FALSE,FALSE,Bicycle,2,http://trafficdata.pune.example
A-0017,28-03-2024,18:23:26,18.64702673,73.82263598,Severe,Cloudy,Intersection,5,1,FALSE,Rollover,Speeding,FALSE,No Intersection,Urban,No lighting,80,2091,40-60,Male,55,19,Minor,Winter,Night,FALSE,TRUE,Truck,11,http://trafficdata.pune.example
A-0018,01-04-2024,15:31:07,18.60509617,73.92908154,Low,Clear,Intersection,1,4,FALSE,Pedestrian,Distracted Driving,FALSE,Crosswalk,Urban,No lighting,60,2267,Below 18,Male,57,28,Minor,Summer,Day,FALSE,TRUE,Bicycle,4,http://trafficdata.pune.example
A-0019,19-03-2024,11:24:03,18.50677726,73.94004715,Moderate,Foggy,Highway,3,4,FALSE,Pedestrian,Speeding,TRUE,No Intersection,Urban,Well-lit,40,2686,Below 18,Female,17,5,Minor,Winter,Night,FALSE,FALSE,Bicycle,7,http://trafficdata.pune.example
A-0020,28-02-2024,09:09:07,18.56361218,73.9197147,Low,Rainy,Intersection,4,0,FALSE,Head-on,Road Condition,TRUE,T-junction,Rural,Well-lit,30,3900,Below 18,Male,8,12,Minor,Monsoon,Day,FALSE,FALSE,Car,6,http://trafficdata.pune.example
A-0021,27-11-2024,02:16:54,18.6187064,73.89439816,Low,Cloudy,Local Road,3,2,FALSE,Rear-end,Distracted Driving,FALSE,No Intersection,Urban,Dimly-lit,70,1921,18-25,Other,15,24,Minor,Monsoon,Day,FALSE,FALSE,Car,10,http://trafficdata.pune.example
A-0022,04-12-2024,06:53:14,18.50303192,73.86008812,Low,Rainy,Local Road,4,3,FALSE,Side-impact,Weather Conditions,FALSE,Crosswalk,Rural,No lighting,80,3516,Below 18,Male,23,16,Major,Summer,Night,FALSE,FALSE,Motorcycle,0,http://trafficdata.pune.example
A-0023,27-10-2024,00:12:12,18.61116004,73.86225276,Low,Foggy,Intersection,2,2,FALSE,Rollover,Drunk Driving,FALSE,Roundabout,Urban,Dimly-lit,70,3250,Above 60,Male,8,24,Minor,Summer,Day,FALSE,FALSE,Bicycle,16,http://trafficdata.pune.example
A-0024,22-09-2024,18:58:03,18.51806732,73.90999365,Moderate,Rainy,Highway,3,4,FALSE,Rear-end,Drunk Driving,TRUE,No Intersection,Urban,Dimly-lit,100,1111,Below 18,Female,48,20,Minor,Summer,Day,FALSE,FALSE,Truck,5,http://trafficdata.pune.example
A-0025,08-12-2024,07:46:09,18.57026183,73.87698472,Low,Stormy,Expressway,2,4,FALSE,Head-on,Road Condition,FALSE,No Intersection,Urban,No lighting,30,3389,18-25,Male,38,8,Minor,Summer,Night,FALSE,TRUE,Bus,1,http://trafficdata.pune.example
A-0026,05-11-2024,20:36:25,18.58112089,73.9189144,Low,Foggy,Intersection,5,1,FALSE,Rear-end,Weather Conditions,FALSE,T-junction,Urban,Well-lit,70,3785,18-25,Male,42,10,Minor,Summer,Night,FALSE,TRUE,Bus,9,http://trafficdata.pune.example
A-0027,02-09-2024,06:42:09,18.54285948,73.78419654,Low,Rainy,Highway,1,4,FALSE,Rollover,Road Condition,FALSE,T-junction,Urban,Well-lit,60,2478,Below 18,Male,36,21,Major,Summer,Day,FALSE,FALSE,Car,16,http://trafficdata.pune.example
A-0028,04-05-2024,08:19:52,18.4959105,73.82082619,Moderate,Foggy,Intersection,2,0,FALSE,Pedestrian,Speeding,FALSE,Crosswalk,Rural,No lighting,30,3141,25-40,Male,20,26,Minor,Monsoon,Day,FALSE,FALSE,Bus,1,http://trafficdata.pune.example
A-0029,12-12-2024,15:26:56,18.52734843,73.87004366,Moderate,Rainy,Intersection,4,4,FALSE,Side-impact,Distracted Driving,FALSE,Roundabout,Urban,Well-lit,30,3270,Below 18,Male,53,26,Minor,Monsoon,Day,FALSE,TRUE,Pedestrian,14,http://trafficdata.pune.example
A-0030,29-02-2024,15:30:13,18.58811389,73.75126685,Moderate,Rainy,Intersection,2,0,FALSE,Pedestrian,Weather Conditions,FALSE,Roundabout,Rural,No lighting,40,4842,Above 60,Male,14,15,Major,Summer,Day,TRUE,FALSE,Truck,3,http://trafficdata.pune.example
A-0031,16-11-2024,13:49:23,18.56067611,73.87442725,Severe,Foggy,Expressway,5,2,FALSE,Head-on,Distracted Driving,FALSE,No Intersection,Urban,No lighting,50,1159,Below 18,Other,11,25,Minor,Winter,Night,FALSE,FALSE,Motorcycle,15,http://trafficdata.pune.example
A-0032,21-02-2024,21:04:04,18.47777656,73.89143249,Low,Stormy,Intersection,2,4,FALSE,Rear-end,Speeding,FALSE,Y-junction,Urban,No lighting,70,3049,Above 60,Female,35,15,Minor,Monsoon,Day,FALSE,FALSE,Bicycle,15,http://trafficdata.pune.example
A-0033,25-05-2024,15:04:05,18.58264724,73.88059404,Moderate,Foggy,Intersection,4,1,FALSE,Rear-end,Distracted Driving,FALSE,Y-junction,Urban,Dimly-lit,60,1178,Below 18,Female,11,9,Minor,Summer,Night,FALSE,FALSE,Bus,4,http://trafficdata.pune.example
A-0034,14-10-2024,06:33:19,18.54837109,73.85648661,Moderate,Stormy,Highway,5,4,FALSE,Rear-end,Road Condition,FALSE,Y-junction,Urban,No lighting,30,2376,Above 60,Female,8,10,Fatal,Monsoon,Day,FALSE,TRUE,Pedestrian,12,http://trafficdata.pune.example
A-0035,08-10-2024,14:41:07,18.62717996,73.93808008,Low,Rainy,Residential,2,4,FALSE,Rollover,Weather Conditions,FALSE,No Intersection,Urban,Well-lit,50,3091,40-60,Female,21,11,Minor,Monsoon,Day,FALSE,FALSE,Pedestrian,6,http://trafficdata.pune.example
A-0036,18-01-2024,12:00:27,18.61033378,73.8899537,Low,Foggy,Highway,3,0,FALSE,Side-impact,Road Condition,FALSE,T-junction,Urban,Well-lit,80,2819,Below 18,Female,22,26,Minor,Monsoon,Night,FALSE,TRUE,Bus,8,http://trafficdata.pune.example
A-0037,24-04-2024,22:37:49,18.46860637,73.89059009,Severe,Stormy,Intersection,1,0,FALSE,Head-on,Drunk Driving,FALSE,No Intersection,Urban,Well-lit,80,3018,Below 18,Female,46,11,Minor,Monsoon,Night,FALSE,FALSE,Car,12,http://trafficdata.pune.example
A-0038,20-12-2024,11:33:26,18.58990135,73.93369618,Low,Cloudy,Intersection,5,3,FALSE,Side-impact,Speeding,FALSE,Roundabout,Rural,Well-lit,30,2346,25-40,Male,36,22,Major,Monsoon,Day,FALSE,FALSE,Car,16,http://trafficdata.pune.example
A-0039,11-10-2024,22:46:41,18.62402631,73.89641516,Low,Rainy,Expressway,1,0,FALSE,Rollover,Road Condition,TRUE,Crosswalk,Urban,Dimly-lit,40,4008,Above 60,Female,39,21,Minor,Monsoon,Night,FALSE,FALSE,Bicycle,12,http://trafficdata.pune.example
A-0040,21-10-2024,19:11:36,18.62244065,73.75969745,Low,Cloudy,Residential,2,0,FALSE,Pedestrian,Drunk Driving,FALSE,Roundabout,Urban,Dimly-lit,70,2472,18-25,Male,47,24,Minor,Winter,Day,FALSE,FALSE,Bus,8,http://trafficdata.pune.example
A-0041,25-05-2024,05:04:23,18.51153311,73.92454139,Severe,Foggy,Expressway,1,4,TRUE,Side-impact,Distracted Driving,TRUE,No Intersection,Rural,No lighting,30,3450,Above 60,Male,48,19,Minor,Summer,Day,FALSE,TRUE,Bus,9,http://trafficdata.pune.example
A-0042,14-12-2024,11:36:14,18.54980096,73.7945261,Low,Rainy,Local Road,1,3,TRUE,Side-impact,Road Condition,FALSE,Roundabout,Rural,No lighting,40,1983,Below 18,Male,59,7,Minor,Winter,Night,FALSE,FALSE,Pedestrian,5,http://trafficdata.pune.example
A-0043,20-02-2024,03:23:32,18.58366701,73.87579698,Low,Cloudy,Intersection,4,1,FALSE,Rollover,Distracted Driving,TRUE,T-junction,Urban,Dimly-lit,40,2593,25-40,Male,30,18,Major,Winter,Day,FALSE,FALSE,Pedestrian,4,http://trafficdata.pune.example
A-0044,01-07-2024,02:01:22,18.48722358,73.76302775,Low,Rainy,Expressway,4,2,FALSE,Rear-end,Weather Conditions,FALSE,T-junction,Urban,Well-lit,80,3185,18-25,Female,58,28,Minor,Summer,Day,FALSE,TRUE,Car,9,http://trafficdata.pune.example
A-0045,30-11-2024,02:16:13,18.56975313,73.92965818,Moderate,Rainy,Intersection,3,2,FALSE,Head-on,Drunk Driving,FALSE,Roundabout,Urban,Well-lit,80,2724,25-40,Other,14,20,Major,Monsoon,Day,FALSE,TRUE,Bicycle,11,http://trafficdata.pune.example
A-0046,09-04-2024,09:41:05,18.47246686,73.93923836,Moderate,Clear,Residential,4,2,FALSE,Rear-end,Weather Conditions,FALSE,T-junction,Urban,Well-lit,30,2068,40-60,Male,45,1,Minor,Winter,Day,FALSE,FALSE,Truck,17,http://trafficdata.pune.example
A-0047,19-11-2024,15:44:31,18.56300106,73.9430948,Severe,Stormy,Residential,1,0,FALSE,Side-impact,Speeding,FALSE,No Intersection,Rural,Dimly-lit,40,4715,Below 18,Female,29,16,Minor,Winter,Day,FALSE,FALSE,Car,19,http://trafficdata.pune.example
A-0048,15-06-2024,14:22:10,18.57306273,73.79023142,Moderate,Cloudy,Expressway,5,0,FALSE,Pedestrian,Drunk Driving,FALSE,Roundabout,Urban,No lighting,80,3648,40-60,Female,50,4,Minor,Winter,Night,FALSE,FALSE,Bicycle,14,http://trafficdata.pune.example
A-0049,05-12-2024,15:17:43,18.47019173,73.91100922,Moderate,Foggy,Expressway,1,1,FALSE,Pedestrian,Speeding,TRUE,Crosswalk,Urban,Well-lit,30,4597,40-60,Male,28,16,Minor,Winter,Day,TRUE,FALSE,Truck,1,http://trafficdata.pune.example
A-0050,24-07-2024,11:49:44,18.61580654,73.89902224,Low,Clear,Local Road,2,2,TRUE,Rollover,Distracted Driving,FALSE,Y-junction,Rural,No lighting,60,2150,Above 60,Other,17,14,Major,Winter,Night,FALSE,TRUE,Car,12,http://trafficdata.pune.example
A-0051,07-02-2024,09:10:32,18.60626156,73.89116471,Low,Rainy,Expressway,4,3,FALSE,Rear-end,Speeding,FALSE,T-junction,Urban,Well-lit,60,2356,40-60,Male,17,20,Major,Summer,Day,FALSE,TRUE,Truck,6,http://trafficdata.pune.example
A-0052,23-04-2024,09:40:04,18.47316346,73.76434677,Moderate,Stormy,Residential,4,2,FALSE,Head-on,Drunk Driving,FALSE,T-junction,Rural,Well-lit,100,3436,18-25,Male,45,16,Major,Monsoon,Day,FALSE,FALSE,Truck,11,http://trafficdata.pune.example
A-0053,18-03-2024,08:22:25,18.56089024,73.86714864,Low,Cloudy,Highway,5,1,FALSE,Rear-end,Distracted Driving,FALSE,T-junction,Urban,Dimly-lit,70,2588,Below 18,Female,12,20,Minor,Winter,Day,TRUE,FALSE,Bus,13,http://trafficdata.pune.example
A-0054,06-10-2024,13:33:11,18.6277611,73.7672093,Low,Cloudy,Intersection,3,4,FALSE,Pedestrian,Distracted Driving,FALSE,Roundabout,Urban,No lighting,60,3048,40-60,Male,58,22,Major,Summer,Day,FALSE,FALSE,Motorcycle,4,http://trafficdata.pune.example
A-0055,07-01-2024,20:14:48,18.60149584,73.87831201,Moderate,Stormy,Residential,5,4,FALSE,Side-impact,Distracted Driving,FALSE,T-junction,Urban,Dimly-lit,60,2131,18-25,Female,36,29,Minor,Summer,Day,FALSE,FALSE,Pedestrian,7,http://trafficdata.pune.example
A-0056,18-01-2024,03:58:18,18.4866471,73.83374093,Low,Cloudy,Highway,4,0,FALSE,Rear-end,Weather Conditions,FALSE,Crosswalk,Urban,Well-lit,30,1710,25-40,Female,54,25,Major,Monsoon,Day,FALSE,FALSE,Car,4,http://trafficdata.pune.example
A-0057,03-03-2024,18:36:17,18.5554058,73.77116428,Low,Stormy,Local Road,2,4,FALSE,Side-impact,Drunk Driving,FALSE,No Intersection,Urban,Well-lit,50,4908,25-40,Male,45,8,Minor,Summer,Night,FALSE,FALSE,Bicycle,5,http://trafficdata.pune.example
A-0058,19-12-2024,09:09:30,18.59556701,73.7768115,Moderate,Cloudy,Residential,5,4,FALSE,Rollover,Weather Conditions,FALSE,Roundabout,Urban,No lighting,50,4749,18-25,Other,38,5,Major,Summer,Day,FALSE,TRUE,Bus,13,http://trafficdata.pune.example
A-0059,02-08-2024,04:25:52,18.59529407,73.92438017,Severe,Cloudy,Residential,3,3,FALSE,Rear-end,Drunk Driving,FALSE,Roundabout,Urban,No lighting,70,1228,40-60,Female,51,13,Fatal,Summer,Night,FALSE,FALSE,Pedestrian,18,http://trafficdata.pune.example
A-0060,01-06-2024,09:40:16,18.5728304,73.85489092,Severe,Foggy,Local Road,3,1,FALSE,Side-impact,Distracted Driving,FALSE,Roundabout,Urban,Well-lit,60,2942,25-40,Male,32,4,Minor,Winter,Night,FALSE,TRUE,Car,5,http://trafficdata.pune.example
A-0061,18-12-2024,06:58:56,18.46234656,73.77933975,Low,Cloudy,Highway,5,3,TRUE,Rear-end,Drunk Driving,TRUE,Y-junction,Urban,Well-lit,50,1278,18-25,Male,34,21,Minor,Monsoon,Day,FALSE,FALSE,Bicycle,7,http://trafficdata.pune.example
A-0062,10-09-2024,14:48:17,18.63267931,73.92763188,Low,Foggy,Intersection,5,3,FALSE,Side-impact,Speeding,FALSE,T-junction,Urban,Dimly-lit,100,3213,Above 60,Male,48,11,Minor,Winter,Day,FALSE,FALSE,Bicycle,2,http://trafficdata.pune.example
A-0063,13-07-2024,00:45:35,18.64179819,73.83380382,Moderate,Cloudy,Expressway,2,1,FALSE,Rear-end,Road Condition,FALSE,No Intersection,Urban,Dimly-lit,50,3559,Above 60,Male,16,12,Minor,Winter,Day,FALSE,TRUE,Pedestrian,13,http://trafficdata.pune.example
A-0064,17-08-2024,15:09:37,18.52610883,73.76913417,Low,Clear,Local Road,3,0,FALSE,Pedestrian,Weather Conditions,FALSE,Roundabout,Urban,Dimly-lit,60,1030,Below 18,Female,35,15,Major,Monsoon,Day,FALSE,TRUE,Bicycle,10,http://trafficdata.pune.example
A-0065,07-01-2024,08:45:30,18.6291991,73.75042703,Severe,Foggy,Local Road,2,2,FALSE,Head-on,Speeding,TRUE,Roundabout,Urban,No lighting,30,4749,40-60,Female,10,10,Minor,Monsoon,Day,FALSE,TRUE,Truck,17,http://trafficdata.pune.example
A-0066,05-12-2024,01:59:32,18.49363097,73.90885113,Low,Stormy,Intersection,5,3,TRUE,Side-impact,Road Condition,FALSE,No Intersection,Rural,Well-lit,30,2559,25-40,Male,51,29,Major,Monsoon,Night,FALSE,FALSE,Bicycle,16,http://trafficdata.pune.example
A-0067,08-09-2024,14:18:15,18.57805622,73.91079772,Severe,Clear,Highway,2,4,FALSE,Side-impact,Drunk Driving,FALSE,No Intersection,Rural,Well-lit,80,2288,40-60,Female,19,24,Minor,Winter,Day,FALSE,TRUE,Bus,7,http://trafficdata.pune.example
A-0068,12-09-2024,03:46:37,18.61848596,73.84449498,Low,Rainy,Local Road,1,4,FALSE,Side-impact,Drunk Driving,TRUE,Roundabout,Urban,No lighting,60,4333,25-40,Female,23,8,Minor,Monsoon,Night,FALSE,FALSE,Motorcycle,8,http://trafficdata.pune.example
A-0069,28-08-2024,15:00:57,18.64405257,73.94156513,Moderate,Foggy,Intersection,1,1,FALSE,Rear-end,Road Condition,FALSE,Roundabout,Urban,Well-lit,80,1047,Below 18,Female,8,11,Major,Monsoon,Day,FALSE,TRUE,Motorcycle,15,http://trafficdata.pune.example
A-0070,19-07-2024,13:18:37,18.45505845,73.79679012,Moderate,Cloudy,Expressway,4,4,TRUE,Rollover,Drunk Driving,FALSE,Crosswalk,Urban,Dimly-lit,80,3734,18-25,Female,43,21,Minor,Summer,Night,FALSE,TRUE,Motorcycle,16,http://trafficdata.pune.example
A-0071,11-11-2024,02:31:21,18.56547877,73.81090782,Severe,Rainy,Residential,4,4,FALSE,Rear-end,Distracted Driving,FALSE,No Intersection,Rural,No lighting,50,4495,Below 18,Female,54,4,Major,Monsoon,Night,FALSE,FALSE,Motorcycle,11,http://trafficdata.pune.example
A-0072,12-08-2024,22:59:08,18.63087281,73.85446906,Low,Rainy,Intersection,2,2,FALSE,Rollover,Distracted Driving,FALSE,Y-junction,Rural,Well-lit,40,1318,18-25,Male,49,6,Minor,Winter,Night,FALSE,FALSE,Truck,12,http://trafficdata.pune.example
A-0073,07-06-2024,16:19:39,18.47380493,73.84051377,Low,Rainy,Highway,1,1,FALSE,Side-impact,Weather Conditions,FALSE,No Intersection,Rural,Dimly-lit,60,1264,40-60,Male,43,27,Major,Summer,Day,FALSE,TRUE,Motorcycle,1,http://trafficdata.pune.example
A-0074,04-01-2024,01:10:29,18.5078307,73.89915452,Severe,Stormy,Expressway,2,1,FALSE,Head-on,Distracted Driving,FALSE,Y-junction,Urban,No lighting,30,3127,Above 60,Male,7,22,Minor,Summer,Day,FALSE,FALSE,Car,7,http://trafficdata.pune.example
A-0075,02-07-2024,20:50:44,18.56190195,73.78257541,Low,Foggy,Expressway,2,0,FALSE,Pedestrian,Road Condition,FALSE,T-junction,Rural,Dimly-lit,80,1762,Above 60,Male,38,7,Major,Summer,Night,FALSE,TRUE,Car,10,http://trafficdata.pune.example
A-0076,07-04-2024,06:50:34,18.55885698,73.80932571,Severe,Cloudy,Local Road,3,0,FALSE,Rear-end,Speeding,FALSE,Roundabout,Urban,No lighting,60,4481,Above 60,Male,57,16,Minor,Winter,Day,FALSE,FALSE,Car,19,http://trafficdata.pune.example
A-0077,08-11-2024,12:49:34,18.54846906,73.9035589,Low,Cloudy,Residential,5,0,FALSE,Rear-end,Speeding,FALSE,T-junction,Rural,Dimly-lit,30,3451,Above 60,Male,23,2,Major,Monsoon,Day,FALSE,TRUE,Bicycle,4,http://trafficdata.pune.example
A-0078,22-04-2024,08:35:00,18.45980184,73.83711997,Severe,Stormy,Residential,3,0,FALSE,Side-impact,Distracted Driving,FALSE,No Intersection,Rural,Dimly-lit,100,4975,18-25,Male,11,22,Minor,Winter,Day,FALSE,TRUE,Truck,5,http://trafficdata.pune.example
A-0079,22-03-2024,04:53:10,18.54300933,73.77334594,Low,Cloudy,Expressway,5,3,FALSE,Rollover,Road Condition,FALSE,No Intersection,Rural,Dimly-lit,80,2494,Above 60,Male,35,18,Minor,Summer,Night,FALSE,FALSE,Bus,17,http://trafficdata.pune.example
A-0080,22-11-2024,03:43:52,18.46884681,73.93348958,Severe,Cloudy,Local Road,5,0,TRUE,Head-on,Road Condition,FALSE,No Intersection,Urban,Well-lit,70,3232,Above 60,Male,19,18,Minor,Winter,Day,FALSE,TRUE,Motorcycle,8,http://trafficdata.pune.example
A-0081,05-12-2024,00:56:56,18.46930895,73.91631302,Moderate,Cloudy,Expressway,4,0,FALSE,Rollover,Distracted Driving,TRUE,Y-junction,Rural,Well-lit,100,2848,25-40,Male,9,25,Minor,Monsoon,Day,FALSE,FALSE,Motorcycle,18,http://trafficdata.pune.example
A-0082,26-09-2024,11:12:03,18.4653922,73.85467376,Moderate,Clear,Intersection,3,0,FALSE,Rollover,Distracted Driving,FALSE,Crosswalk,Urban,Dimly-lit,40,1048,Above 60,Female,6,24,Minor,Winter,Day,FALSE,FALSE,Motorcycle,9,http://trafficdata.pune.example
A-0083,01-02-2024,19:42:18,18.60659375,73.87043971,Low,Foggy,Local Road,1,0,TRUE,Side-impact,Road Condition,FALSE,Crosswalk,Rural,Dimly-lit,30,4374,Above 60,Male,58,18,Major,Winter,Day,FALSE,TRUE,Truck,18,http://trafficdata.pune.example
A-0084,18-03-2024,11:09:44,18.47554858,73.90469105,Moderate,Foggy,Residential,4,3,FALSE,Rear-end,Weather Conditions,FALSE,Crosswalk,Urban,Dimly-lit,30,3289,Below 18,Male,35,13,Fatal,Monsoon,Day,FALSE,TRUE,Pedestrian,2,http://trafficdata.pune.example
A-0085,01-05-2024,23:53:15,18.46021664,73.91757696,Low,Clear,Local Road,5,0,TRUE,Pedestrian,Road Condition,FALSE,Crosswalk,Urban,Dimly-lit,80,2264,40-60,Other,24,13,Minor,Summer,Day,FALSE,FALSE,Bus,19,http://trafficdata.pune.example
A-0086,31-08-2024,05:29:19,18.53856478,73.93761802,Moderate,Clear,Intersection,2,2,FALSE,Rear-end,Drunk Driving,FALSE,Y-junction,Urban,No lighting,50,2672,40-60,Male,54,24,Minor,Winter,Day,FALSE,TRUE,Pedestrian,1,http://trafficdata.pune.example
A-0087,07-09-2024,03:29:41,18.49123022,73.85724605,Moderate,Clear,Expressway,4,4,FALSE,Pedestrian,Distracted Driving,FALSE,No Intersection,Urban,Well-lit,50,4411,40-60,Female,11,24,Minor,Summer,Day,FALSE,FALSE,Motorcycle,7,http://trafficdata.pune.example
A-0088,06-06-2024,10:20:22,18.5544237,73.8695953,Severe,Cloudy,Local Road,4,3,TRUE,Side-impact,Distracted Driving,FALSE,T-junction,Rural,Dimly-lit,50,4483,Below 18,Female,33,3,Minor,Winter,Night,FALSE,FALSE,Bicycle,16,http://trafficdata.pune.example
A-0089,06-10-2024,03:58:48,18.58720266,73.84892773,Moderate,Cloudy,Residential,1,0,FALSE,Head-on,Speeding,TRUE,Y-junction,Urban,Well-lit,40,1498,40-60,Male,27,21,Minor,Summer,Day,FALSE,FALSE,Pedestrian,10,http://trafficdata.pune.example
A-0090,13-12-2024,22:40:32,18.60010193,73.93645532,Low,Cloudy,Residential,4,4,FALSE,Head-on,Road Condition,FALSE,No Intersection,Urban,No lighting,70,4204,40-60,Female,32,10,Minor,Summer,Day,FALSE,FALSE,Car,12,http://trafficdata.pune.example
A-0091,22-03-2024,01:42:32,18.48012039,73.92277218,Moderate,Foggy,Residential,4,1,FALSE,Rollover,Speeding,FALSE,Roundabout,Urban,Well-lit,70,2582,18-25,Male,10,9,Fatal,Winter,Night,FALSE,TRUE,Pedestrian,7,http://trafficdata.pune.example
A-0092,18-09-2024,20:41:54,18.50549678,73.89618794,Low,Rainy,Residential,5,1,FALSE,Side-impact,Drunk Driving,TRUE,Crosswalk,Urban,Well-lit,40,1371,25-40,Other,5,3,Minor,Winter,Day,FALSE,FALSE,Bus,1,http://trafficdata.pune.example
A-0093,21-05-2024,23:26:37,18.49510476,73.83904415,Low,Foggy,Residential,5,1,FALSE,Head-on,Weather Conditions,FALSE,T-junction,Urban,No lighting,50,2078,18-25,Male,54,11,Minor,Summer,Night,FALSE,FALSE,Pedestrian,17,http://trafficdata.pune.example
